[  3] Received message from   1: 1|0
[ 64] Received message from  47: 4|0,4,15,7,93
[ 11] Received message from  14: 4|0,4,25,62,8
[ 89] Received message from  47: 4|0,4,15,7,93
[ 81] Received message from   8: 4|0,4,25,62
[ 19] Received message from  45: 4|4,15,7,93,47
[  8] Sent Broadcast: 4|0,4,25,62
[ 81] Received message from  14: 4|0,4,25,62,8
[ 14] Sent Broadcast: 4|0,4,25,62,8
[ 45] Received message from  64: 4|4,15,7,93,47
[ 97] Received message from  47: 4|0,4,15,7,93
[ 47] Sent Broadcast: 4|0,4,15,7,93
[ 64] Received message from  45: 4|4,15,7,93,47
[ 81] Received message from  11: 4|4,25,62,8,14
[ 32] Received message from  89: 4|4,15,7,93,47
[ 11] Received message from  81: 4|0,4,25,62,8
[ 94] Received message from  11: 4|4,25,62,8,14
[ 89] Received message from  64: 4|4,15,7,93,47
[ 11] Sent Broadcast: 4|4,25,62,8,14
[ 45] Received message from  89: 4|4,15,7,93,47
[ 32] Received message from  97: 4|4,15,7,93,47
[ 14] Received message from  81: 4|0,4,25,62,8
[ 89] Received message from  45: 4|4,15,7,93,47
[ 81] Sent Broadcast: 4|0,4,25,62,8
[ 45] Sent Broadcast: 4|4,15,7,93,47
[ 90] Received message from  64: 4|4,15,7,93,47
[ 85] Received message from  94: 4|25,62,8,14,11
[ 94] Sent Broadcast: 4|25,62,8,14,11
[ 17] Received message from  32: 4|15,7,93,47,89
[ 97] Received message from  64: 4|4,15,7,93,47
[ 64] Sent Broadcast: 4|4,15,7,93,47
[ 64] Received message from  89: 4|4,15,7,93,47
[ 64] Received message from  97: 4|4,15,7,93,47
[ 90] Received message from  32: 4|15,7,93,47,89
[ 51] Received message from  85: 4|62,8,14,11,94
[ 32] Received message from  90: 4|15,7,93,47,64
[ 12] Received message from  17: 4|7,93,47,89,32
[ 97] Received message from  32: 4|15,7,93,47,89
[ 89] Received message from  97: 4|4,15,7,93,47
[ 90] Received message from  89: 4|4,15,7,93,47
[ 32] Sent Broadcast: 4|15,7,93,47,89
[ 80] Received message from  85: 4|62,8,14,11,94
[ 90] Received message from  97: 4|4,15,7,93,47
[ 89] Received message from  90: 4|15,7,93,47,64
[ 97] Received message from  89: 4|4,15,7,93,47
[ 97] Sent Broadcast: 4|4,15,7,93,47
[ 29] Received message from  17: 4|7,93,47,89,32
[ 89] Sent Broadcast: 4|4,15,7,93,47
[  5] Received message from  51: 4|8,14,11,94,85
[ 91] Received message from  85: 4|62,8,14,11,94
[ 29] Received message from  12: 4|93,47,89,32,17
[ 56] Received message from  17: 4|7,93,47,89,32
[ 85] Sent Broadcast: 4|62,8,14,11,94
[ 97] Received message from  90: 4|15,7,93,47,64
[ 90] Sent Broadcast: 4|15,7,93,47,64
[ 36] Received message from  80: 4|8,14,11,94,85
[ 80] Received message from  51: 4|8,14,11,94,85
[ 56] Received message from  12: 4|93,47,89,32,17
[ 51] Sent Broadcast: 4|8,14,11,94,85
[ 65] Received message from  17: 4|7,93,47,89,32
[ 17] Sent Broadcast: 4|7,93,47,89,32
[ 12] Received message from  29: 4|93,47,89,32,17
[ 65] Received message from   5: 4|14,11,94,85,51
[ 51] Received message from  80: 4|8,14,11,94,85
[ 56] Received message from  29: 4|93,47,89,32,17
[ 12] Received message from  56: 4|93,47,89,32,17
[ 65] Received message from  12: 4|93,47,89,32,17
[ 53] Received message from  36: 4|14,11,94,85,80
[  5] Received message from  65: 4|93,47,89,32,17
[ 29] Received message from  56: 4|93,47,89,32,17
[ 70] Received message from   5: 4|14,11,94,85,51
[ 83] Received message from  12: 4|93,47,89,32,17
[ 65] Received message from  29: 4|93,47,89,32,17
[ 12] Sent Broadcast: 4|93,47,89,32,17
[ 65] Received message from  56: 4|93,47,89,32,17
[ 56] Sent Broadcast: 4|93,47,89,32,17
[ 53] Received message from  80: 4|8,14,11,94,85
[ 72] Received message from  36: 4|14,11,94,85,80
[ 36] Sent Broadcast: 4|14,11,94,85,80
[ 12] Received message from  65: 4|93,47,89,32,17
[ 83] Received message from   5: 4|14,11,94,85,51
[  5] Sent Broadcast: 4|14,11,94,85,51
[ 29] Received message from  70: 4|11,94,85,51,5
[ 70] Received message from  29: 4|93,47,89,32,17
[ 72] Received message from  53: 4|11,94,85,80,36
[ 53] Sent Broadcast: 4|11,94,85,80,36
[ 72] Received message from  80: 4|8,14,11,94,85
[ 80] Sent Broadcast: 4|8,14,11,94,85
[ 83] Received message from  70: 4|11,94,85,51,5
[ 70] Sent Broadcast: 4|11,94,85,51,5
[ 53] Received message from  72: 4|11,94,85,80,36
[  5] Received message from  83: 4|47,89,32,17,12
[ 72] Sent Broadcast: 4|11,94,85,80,36
[ 29] Received message from  65: 4|93,47,89,32,17
[ 83] Received message from  29: 4|93,47,89,32,17
[ 29] Sent Broadcast: 4|93,47,89,32,17
[ 29] Received message from  83: 4|47,89,32,17,12
[ 56] Received message from  65: 4|93,47,89,32,17
[ 83] Received message from  65: 4|93,47,89,32,17
[ 65] Sent Broadcast: 4|93,47,89,32,17
[ 65] Received message from  83: 4|47,89,32,17,12
[ 70] Received message from  83: 4|47,89,32,17,12
[ 83] Sent Broadcast: 4|47,89,32,17,12
[ 34] Received message from   6: 6|0
[ 67] Received message from   6: 6|0
[  6] Sent Broadcast: 6|0
[ 43] Received message from  34: 6|0,6
[ 34] Received message from  67: 6|0,6
[ 67] Received message from  34: 6|0,6
[ 34] Sent Broadcast: 6|0,6
[ 43] Received message from  67: 6|0,6
[ 67] Sent Broadcast: 6|0,6
[ 67] Received message from  43: 6|0,6,34
[ 43] Sent Broadcast: 6|0,6,34
[ 46] Received message from  13: 13|0
[ 52] Received message from  13: 13|0
[ 52] Received message from  46: 13|0,13
[ 78] Received message from  13: 13|0
[ 46] Received message from  52: 13|0,13
[100] Received message from  46: 13|0,13
[ 46] Sent Broadcast: 13|0,13
[ 66] Received message from  52: 13|0,13
[100] Received message from  13: 13|0
[ 13] Sent Broadcast: 13|0
[ 52] Received message from 100: 13|0,13,46
[ 49] Received message from  66: 13|0,13,52
[ 66] Received message from 100: 13|0,13,46
[100] Received message from  52: 13|0,13
[100] Sent Broadcast: 13|0,13,46
[ 52] Sent Broadcast: 13|0,13
[ 95] Received message from  66: 13|0,13,52
[ 61] Received message from  49: 13|0,13,52,66
[100] Received message from  66: 13|0,13,52
[ 66] Sent Broadcast: 13|0,13,52
[ 49] Received message from  95: 13|0,13,52,66
[ 87] Received message from  49: 13|0,13,52,66
[ 42] Received message from  61: 13|0,13,52,66,49
[ 61] Received message from  95: 13|0,13,52,66
[ 88] Received message from  49: 13|0,13,52,66
[ 86] Received message from  61: 13|0,13,52,66,49
[ 61] Received message from  87: 13|0,13,52,66,49
[ 95] Received message from  49: 13|0,13,52,66
[ 87] Received message from  95: 13|0,13,52,66
[ 86] Received message from  42: 13|13,52,66,49,61
[ 42] Sent Broadcast: 13|13,52,66,49,61
[ 41] Received message from  86: 13|13,52,66,49,61
[ 77] Received message from  87: 13|0,13,52,66,49
[ 96] Received message from  49: 13|0,13,52,66
[ 27] Received message from  88: 13|0,13,52,66,49
[ 87] Received message from  61: 13|0,13,52,66,49
[ 88] Received message from  95: 13|0,13,52,66
[ 49] Sent Broadcast: 13|0,13,52,66
[ 88] Received message from  87: 13|0,13,52,66,49
[ 42] Received message from  86: 13|13,52,66,49,61
[ 28] Received message from  96: 13|0,13,52,66,49
[ 86] Sent Broadcast: 13|13,52,66,49,61
[ 73] Received message from  41: 13|52,66,49,61,86
[ 88] Received message from  61: 13|0,13,52,66,49
[ 61] Received message from  88: 13|0,13,52,66,49
[ 96] Received message from  95: 13|0,13,52,66
[ 95] Received message from  87: 13|0,13,52,66,49
[ 95] Sent Broadcast: 13|0,13,52,66
[ 27] Received message from  77: 13|13,52,66,49,87
[ 77] Received message from  96: 13|0,13,52,66,49
[ 28] Received message from  27: 13|13,52,66,49,88
[ 95] Received message from  61: 13|0,13,52,66,49
[ 61] Sent Broadcast: 13|0,13,52,66,49
[ 75] Received message from  41: 13|52,66,49,61,86
[ 96] Received message from  87: 13|0,13,52,66,49
[ 41] Sent Broadcast: 13|52,66,49,61,86
[ 87] Sent Broadcast: 13|0,13,52,66,49
[ 74] Received message from  73: 13|66,49,61,86,41
[ 28] Received message from  77: 13|13,52,66,49,87
[ 27] Received message from  28: 13|13,52,66,49,96
[ 87] Received message from  96: 13|0,13,52,66,49
[ 77] Received message from  88: 13|0,13,52,66,49
[ 88] Received message from  96: 13|0,13,52,66,49
[ 77] Received message from  27: 13|13,52,66,49,88
[ 75] Received message from  73: 13|66,49,61,86,41
[ 27] Sent Broadcast: 13|13,52,66,49,88
[ 87] Received message from  88: 13|0,13,52,66,49
[ 73] Sent Broadcast: 13|66,49,61,86,41
