[129] Received message from  36: 3|28,137,37,43,89
[ 95] Received message from  68: 3|28,137,37,43,89
[ 12] Received message from  56: 3|137,37,43,89,36
[ 56] Sent Broadcast: 3|137,37,43,89,36
[ 68] Received message from  95: 3|28,137,37,43,89
[141] Received message from  89: 3|44,28,137,37,43
[ 89] Sent Broadcast: 3|44,28,137,37,43
[ 16] Received message from  74: 3|137,37,43,89,68
[129] Received message from  68: 3|28,137,37,43,89
[ 65] Received message from  74: 3|137,37,43,89,68
[141] Received message from  36: 3|28,137,37,43,89
[141] Received message from  95: 3|28,137,37,43,89
[ 16] Received message from 129: 3|137,37,43,89,36
[ 36] Received message from 141: 3|28,137,37,43,89
[ 95] Sent Broadcast: 3|28,137,37,43,89
[140] Received message from  68: 3|28,137,37,43,89
[ 75] Received message from  74: 3|137,37,43,89,68
[ 54] Received message from  16: 3|37,43,89,68,74
[ 65] Received message from 129: 3|137,37,43,89,36
[144] Received message from  36: 3|28,137,37,43,89
[ 36] Sent Broadcast: 3|28,137,37,43,89
[ 68] Received message from 141: 3|28,137,37,43,89
[141] Received message from  68: 3|28,137,37,43,89
[ 65] Received message from  16: 3|37,43,89,68,74
[ 68] Received message from 129: 3|137,37,43,89,36
[ 16] Received message from  65: 3|37,43,89,68,74
[ 81] Received message from  74: 3|137,37,43,89,68
[ 93] Received message from  54: 3|43,89,68,74,16
[ 95] Received message from 141: 3|28,137,37,43,89
[ 54] Sent Broadcast: 3|43,89,68,74,16
[ 75] Received message from  16: 3|37,43,89,68,74
[149] Received message from  68: 3|28,137,37,43,89
[141] Sent Broadcast: 3|28,137,37,43,89
[ 68] Sent Broadcast: 3|28,137,37,43,89
[ 16] Received message from 140: 3|137,37,43,89,68
[140] Received message from 129: 3|137,37,43,89,36
[ 16] Received message from  75: 3|37,43,89,68,74
[ 93] Received message from 144: 3|137,37,43,89,36
[144] Received message from 129: 3|137,37,43,89,36
[129] Received message from  16: 3|37,43,89,68,74
[129] Sent Broadcast: 3|137,37,43,89,36
[ 75] Received message from  65: 3|37,43,89,68,74
[ 65] Received message from 140: 3|137,37,43,89,68
[ 79] Received message from  93: 3|89,68,74,16,54
[ 65] Received message from 149: 3|137,37,43,89,68
[140] Received message from  74: 3|137,37,43,89,68
[ 55] Received message from  81: 3|37,43,89,68,74
[140] Received message from  16: 3|37,43,89,68,74
[ 16] Sent Broadcast: 3|37,43,89,68,74
[ 74] Received message from 140: 3|137,37,43,89,68
[129] Received message from 144: 3|137,37,43,89,36
[144] Sent Broadcast: 3|137,37,43,89,36
[144] Received message from  93: 3|89,68,74,16,54
[ 93] Sent Broadcast: 3|89,68,74,16,54
[149] Received message from  74: 3|137,37,43,89,68
[ 40] Received message from  79: 3|68,74,16,54,93
[ 74] Sent Broadcast: 3|137,37,43,89,68
[ 65] Received message from  75: 3|37,43,89,68,74
[ 75] Received message from  81: 3|37,43,89,68,74
[ 74] Received message from 149: 3|137,37,43,89,68
[129] Received message from  65: 3|37,43,89,68,74
[ 78] Received message from  55: 3|43,89,68,74,81
[140] Received message from  65: 3|37,43,89,68,74
[ 45] Received message from  79: 3|68,74,16,54,93
[132] Received message from  81: 3|37,43,89,68,74
[ 81] Received message from  75: 3|37,43,89,68,74
[ 75] Received message from 140: 3|137,37,43,89,68
[ 75] Received message from 149: 3|137,37,43,89,68
[121] Received message from  55: 3|43,89,68,74,81
[ 79] Sent Broadcast: 3|68,74,16,54,93
[140] Received message from  75: 3|37,43,89,68,74
[ 45] Received message from  40: 3|74,16,54,93,79
[149] Received message from  65: 3|37,43,89,68,74
[ 40] Sent Broadcast: 3|74,16,54,93,79
[  6] Received message from  78: 3|89,68,74,81,55
[ 65] Sent Broadcast: 3|37,43,89,68,74
[132] Received message from  55: 3|43,89,68,74,81
[ 55] Sent Broadcast: 3|43,89,68,74,81
[129] Received message from 140: 3|137,37,43,89,68
[ 81] Received message from 149: 3|137,37,43,89,68
[ 40] Received message from  45: 3|74,16,54,93,79
[ 45] Sent Broadcast: 3|74,16,54,93,79
[149] Received message from  81: 3|37,43,89,68,74
[  6] Received message from 121: 3|89,68,74,81,55
[ 55] Received message from 132: 3|43,89,68,74,81
[ 81] Sent Broadcast: 3|37,43,89,68,74
[149] Received message from  75: 3|37,43,89,68,74
[ 75] Sent Broadcast: 3|37,43,89,68,74
[140] Received message from 149: 3|137,37,43,89,68
[149] Sent Broadcast: 3|137,37,43,89,68
