[  4] Received message from   1: 1|0
[116] Received message from 142: 1|0,1,4,78,16
[111] Sent Broadcast: 1|0,1,4,78,16
[137] Received message from 127: 1|4,78,16,116,52
[142] Received message from  52: 1|1,4,78,16,116
[ 32] Received message from  63: 1|4,78,16,111,35
[  5] Received message from  13: 1|53,86,10,15,61
[ 88] Received message from  14: 1|1,53,86,10,15
[ 14] Received message from 120: 1|53,86,10,15,59
[ 38] Received message from  24: 1|53,86,10,15,14
[ 86] Received message from  51: 1|1,4,78,16,111
[140] Received message from   3: 1|1,4,78,16,147
[128] Received message from 147: 1|0,1,4,78,16
[ 29] Received message from  36: 1|10,15,14,24,7
[ 63] Received message from  15: 1|0,1,53,86,10
[ 76] Received message from  32: 1|0,1,53,86,10
[141] Received message from  35: 1|1,4,78,16,111
[ 24] Received message from  61: 1|1,53,86,10,15
[  3] Received message from 150: 1|1,4,78,16,116
[137] Received message from  67: 1|4,78,16,116,52
[141] Received message from  43: 1|1,53,86,10,32
[116] Received message from 114: 1|0,1,4,78,16
[ 33] Received message from  19: 1|10,15,14,24,7
[ 88] Received message from  66: 1|53,86,10,15,14
[150] Received message from  52: 1|1,4,78,16,116
[  6] Received message from 136: 1|4,78,16,147,3
[ 35] Received message from 141: 1|4,78,16,116,52
[ 32] Received message from 115: 1|0,1,53,86
[142] Received message from 147: 1|0,1,4,78,16
[ 52] Sent Broadcast: 1|1,4,78,16,116
[ 65] Received message from 137: 1|78,16,116,52,127
[ 63] Received message from 113: 1|0,1,53,86
[ 41] Received message from  24: 1|53,86,10,15,14
[128] Received message from 142: 1|0,1,4,78,16
[ 94] Received message from  14: 1|1,53,86,10,15
[ 43] Received message from  63: 1|4,78,16,111,35
[141] Received message from 127: 1|4,78,16,116,52
[ 19] Received message from  13: 1|53,86,10,15,61
[113] Received message from  10: 1|0,1,53,86
[ 32] Received message from 120: 1|53,86,10,15,59
[115] Received message from  15: 1|0,1,53,86,10
[113] Received message from  51: 1|1,4,78,16,111
[142] Received message from 114: 1|0,1,4,78,16
[141] Received message from  67: 1|4,78,16,116,52
[ 11] Received message from   5: 1|86,10,15,61,13
[ 35] Received message from 150: 1|1,4,78,16,116
[150] Received message from   3: 1|1,4,78,16,147
[ 43] Received message from 141: 1|4,78,16,116,52
[ 76] Received message from 113: 1|0,1,53,86
[  7] Received message from  88: 1|53,86,10,15,14
[ 63] Received message from  76: 1|4,78,16,111,35
[ 90] Received message from  66: 1|53,86,10,15,14
[ 67] Received message from 137: 1|78,16,116,52,127
[ 50] Received message from  61: 1|1,53,86,10,15
[  5] Received message from  33: 1|15,14,24,7,19
[ 33] Received message from  13: 1|53,86,10,15,61
[144] Received message from  35: 1|1,4,78,16,111
[  6] Received message from 140: 1|4,78,16,147,3
[144] Received message from  43: 1|1,53,86,10,32
[ 51] Received message from 115: 1|0,1,53,86
[ 38] Received message from   7: 1|86,10,15,14,24
[101] Received message from  14: 1|1,53,86,10,15
[  3] Sent Broadcast: 1|1,4,78,16,147
[137] Sent Broadcast: 1|78,16,116,52,127
[ 21] Received message from  65: 1|16,116,52,127,137
[114] Sent Broadcast: 1|0,1,4,78,16
[ 38] Received message from  19: 1|10,15,14,24,7
[ 63] Received message from 120: 1|53,86,10,15,59
[ 67] Received message from 141: 1|4,78,16,116,52
[114] Received message from  51: 1|1,4,78,16,111
[  7] Received message from  41: 1|86,10,15,14,24
[ 51] Received message from  63: 1|4,78,16,111,35
[147] Received message from 142: 1|0,1,4,78,16
[  7] Received message from  38: 1|86,10,15,14,24
[144] Received message from 127: 1|4,78,16,116,52
[ 52] Received message from 150: 1|1,4,78,16,116
[ 39] Received message from  36: 1|10,15,14,24,7
[150] Received message from 147: 1|0,1,4,78,16
[ 39] Received message from  29: 1|15,14,24,7,36
[ 50] Received message from  24: 1|53,86,10,15,14
[ 46] Received message from 136: 1|4,78,16,147,3
[120] Received message from  15: 1|0,1,53,86,10
[ 33] Received message from  11: 1|10,15,61,13,5
[144] Received message from  67: 1|4,78,16,116,52
[ 33] Received message from   5: 1|86,10,15,61,13
[ 29] Received message from  90: 1|86,10,15,14,66
[ 24] Received message from  88: 1|53,86,10,15,14
[ 59] Received message from 115: 1|0,1,53,86
[147] Sent Broadcast: 1|0,1,4,78,16
[ 15] Sent Broadcast: 1|0,1,53,86,10
[ 50] Received message from  13: 1|53,86,10,15,61
[113] Received message from  32: 1|0,1,53,86,10
[ 76] Received message from 141: 1|4,78,16,116,52
[115] Received message from  10: 1|0,1,53,86
[ 94] Received message from  66: 1|53,86,10,15,14
[ 41] Received message from   7: 1|86,10,15,14,24
[ 66] Sent Broadcast: 1|53,86,10,15,14
[150] Received message from 142: 1|0,1,4,78,16
[ 66] Received message from  94: 1|53,86,10,15,14
[142] Sent Broadcast: 1|0,1,4,78,16
[ 63] Received message from 115: 1|0,1,53,86
[  5] Received message from  50: 1|53,86,10,15,61
[ 35] Received message from 144: 1|53,86,10,32,43
[  7] Received message from 101: 1|53,86,10,15,14
[142] Received message from 150: 1|1,4,78,16,116
[ 76] Received message from  63: 1|4,78,16,111,35
[ 88] Received message from  36: 1|10,15,14,24,7
[ 41] Received message from  19: 1|10,15,14,24,7
[115] Received message from 120: 1|53,86,10,15,59
[113] Received message from  76: 1|4,78,16,111,35
[ 11] Received message from  33: 1|15,14,24,7,19
[ 77] Received message from  61: 1|1,53,86,10,15
[140] Received message from 136: 1|4,78,16,147,3
[120] Received message from  14: 1|1,53,86,10,15
[ 29] Received message from  39: 1|15,14,24,7,36
[ 30] Received message from  65: 1|16,116,52,127,137
[115] Received message from 113: 1|0,1,53,86
[ 61] Sent Broadcast: 1|1,53,86,10,15
[120] Sent Broadcast: 1|53,86,10,15,59
[113] Sent Broadcast: 1|0,1,53,86
[ 61] Received message from  24: 1|53,86,10,15,14
