[ 10] Received message from   1: 1|0
[ 14] Received message from   1: 1|0
[ 15] Received message from  10: 1|0,1
[ 19] Received message from  10: 1|0,1
[ 34] Received message from  15: 1|0,1,10
[ 19] Received message from   1: 1|0
[ 46] Received message from  15: 1|0,1,10
[ 19] Received message from  14: 1|0,1
[ 31] Received message from  10: 1|0,1
[ 31] Received message from   1: 1|0
[ 43] Received message from  14: 1|0,1
[ 45] Received message from  34: 1|0,1,10,15
[ 56] Received message from  15: 1|0,1,10
[ 54] Received message from  10: 1|0,1
[ 14] Received message from  19: 1|0,1,10
[ 12] Received message from  46: 1|0,1,10,15
[ 43] Received message from   1: 1|0
[ 55] Received message from  14: 1|0,1
[ 59] Received message from  15: 1|0,1,10
[ 19] Received message from  31: 1|0,1,10
[ 31] Received message from  19: 1|0,1,10
[ 55] Received message from  10: 1|0,1
[ 25] Received message from  46: 1|0,1,10,15
[ 69] Received message from  15: 1|0,1,10
[ 18] Received message from  43: 1|0,1,14
[ 76] Received message from  14: 1|0,1
[ 54] Received message from   1: 1|0
[ 19] Received message from  56: 1|0,1,10,15
[ 14] Sent Broadcast: 1|0,1
[ 59] Received message from  34: 1|0,1,10,15
[ 10] Received message from  55: 1|0,1,14
[ 57] Received message from  45: 1|0,1,10,15,34
[ 55] Received message from  43: 1|0,1,14
[  9] Received message from  59: 1|0,1,10,15
[ 71] Received message from  15: 1|0,1,10
[  8] Received message from  12: 1|0,1,10,15,46
[ 19] Received message from  54: 1|0,1,10
[ 56] Received message from  10: 1|0,1
[ 54] Received message from  31: 1|0,1,10
[ 35] Received message from  46: 1|0,1,10,15
[ 24] Received message from  57: 1|1,10,15,34,45
[ 19] Received message from  55: 1|0,1,14
[ 59] Received message from  46: 1|0,1,10,15
[ 55] Received message from   1: 1|0
[ 76] Received message from  43: 1|0,1,14
[ 55] Received message from  31: 1|0,1,10
[ 54] Received message from  19: 1|0,1,10
[ 86] Received message from  18: 1|0,1,14,43
[  2] Received message from  25: 1|0,1,10,15,46
[ 61] Received message from  34: 1|0,1,10,15
[ 19] Received message from  69: 1|0,1,10,15
[ 84] Received message from  15: 1|0,1,10
[ 31] Received message from  56: 1|0,1,10,15
[ 12] Received message from  59: 1|0,1,10,15
[ 69] Received message from  10: 1|0,1
[ 11] Received message from  12: 1|0,1,10,15,46
[  2] Received message from   9: 1|0,1,10,15,59
[ 10] Received message from  76: 1|0,1,14
[ 62] Received message from  57: 1|1,10,15,34,45
[  3] Received message from  35: 1|0,1,10,15,46
[104] Received message from  43: 1|0,1,14
[ 43] Sent Broadcast: 1|0,1,14
[ 31] Received message from  54: 1|0,1,10
[ 71] Received message from  46: 1|0,1,10,15
[ 61] Received message from  45: 1|0,1,10,15,34
[ 97] Received message from  15: 1|0,1,10
[ 56] Received message from  31: 1|0,1,10
[ 25] Received message from  59: 1|0,1,10,15
[ 19] Received message from  76: 1|0,1,14
[ 20] Received message from  86: 1|0,1,14,43,18
[  5] Received message from   9: 1|0,1,10,15,59
