[ 29] Received message from   1: 1|0
[ 53] Received message from   1: 1|0
[ 73] Received message from  29: 1|0,1
[ 73] Received message from   1: 1|0
[ 95] Received message from  29: 1|0,1
[ 32] Received message from  53: 1|0,1
[ 88] Received message from   1: 1|0
[134] Received message from  29: 1|0,1
[ 95] Received message from  73: 1|0,1,29
[ 52] Received message from  53: 1|0,1
[ 95] Received message from   1: 1|0
[ 26] Received message from  32: 1|0,1,53
[ 73] Received message from  95: 1|0,1,29
[ 53] Received message from  88: 1|0,1
[145] Received message from  29: 1|0,1
[134] Received message from  73: 1|0,1,29
[105] Received message from   1: 1|0
[ 75] Received message from  53: 1|0,1
[ 73] Received message from 134: 1|0,1,29
[ 52] Received message from  32: 1|0,1,53
[161] Received message from  29: 1|0,1
[ 16] Received message from  26: 1|0,1,53,32
[105] Received message from  88: 1|0,1
[116] Received message from   1: 1|0
[ 26] Received message from  52: 1|0,1,53
[145] Received message from  95: 1|0,1,29
[ 70] Received message from  32: 1|0,1,53
[165] Received message from  29: 1|0,1
[ 53] Received message from 145: 1|0,1,29
[145] Received message from  73: 1|0,1,29
[ 26] Received message from  75: 1|0,1,53
[116] Received message from  88: 1|0,1
[ 88] Received message from 134: 1|0,1,29
[ 52] Received message from  26: 1|0,1,53,32
[133] Received message from   1: 1|0
[ 53] Received message from 161: 1|0,1,29
[ 69] Received message from  16: 1|0,1,53,32,26
[ 51] Received message from 116: 1|0,1
[ 88] Received message from  53: 1|0,1
[ 75] Received message from  32: 1|0,1,53
[161] Received message from  95: 1|0,1,29
[161] Received message from  73: 1|0,1,29
[ 32] Received message from  52: 1|0,1,53
[168] Received message from  29: 1|0,1
[ 73] Received message from 145: 1|0,1,29
[ 32] Received message from  75: 1|0,1,53
[133] Received message from  88: 1|0,1
[134] Received message from   1: 1|0
[ 70] Received message from  26: 1|0,1,53,32
[105] Received message from 134: 1|0,1,29
[ 73] Received message from 165: 1|0,1,29
[ 16] Received message from  70: 1|0,1,53,32
[116] Received message from  53: 1|0,1
[172] Received message from  29: 1|0,1
[143] Received message from  32: 1|0,1,53
[ 70] Received message from  16: 1|0,1,53,32,26
[ 88] Received message from 105: 1|0,1
[ 95] Received message from 145: 1|0,1,29
[165] Received message from  73: 1|0,1,29
[ 34] Received message from  51: 1|0,1,116
[ 30] Received message from 133: 1|0,1
[ 53] Received message from 116: 1|0,1
[ 71] Received message from  69: 1|1,53,32,26,16
[168] Received message from  95: 1|0,1,29
[ 73] Received message from 161: 1|0,1,29
[ 29] Sent Broadcast: 1|0,1
[ 71] Received message from  16: 1|0,1,53,32,26
[134] Received message from  88: 1|0,1
[145] Received message from   1: 1|0
[ 84] Received message from  51: 1|0,1,116
[116] Received message from 134: 1|0,1,29
[ 53] Received message from 168: 1|0,1,29
[ 70] Received message from  52: 1|0,1,53
[ 52] Received message from  75: 1|0,1,53
[168] Received message from  73: 1|0,1,29
[ 75] Received message from  26: 1|0,1,53,32
[ 72] Received message from  69: 1|1,53,32,26,16
[133] Received message from  53: 1|0,1
[ 53] Received message from 133: 1|0,1
[ 73] Received message from 172: 1|0,1,29
[ 26] Received message from  70: 1|0,1,53,32
[  9] Received message from  30: 1|0,1,133
[172] Received message from  95: 1|0,1,29
[116] Received message from 105: 1|0,1
[ 88] Received message from 165: 1|0,1,29
[134] Received message from 145: 1|0,1,29
[144] Received message from  32: 1|0,1,53
[ 73] Received message from 168: 1|0,1,29
[ 88] Received message from 116: 1|0,1
[ 95] Sent Broadcast: 1|0,1,29
[142] Received message from  51: 1|0,1,116
[ 26] Received message from 143: 1|0,1,53,32
[143] Received message from  88: 1|0,1
[ 72] Received message from  34: 1|0,1,116,51
[172] Received message from  73: 1|0,1,29
[ 70] Received message from  75: 1|0,1,53
[ 73] Sent Broadcast: 1|0,1,29
[ 52] Received message from  70: 1|0,1,53,32
[122] Received message from  69: 1|1,53,32,26,16
[ 75] Received message from  52: 1|0,1,53
[133] Received message from 134: 1|0,1,29
[ 48] Received message from  30: 1|0,1,133
[ 81] Received message from  26: 1|0,1,53,32
[133] Received message from 105: 1|0,1
[142] Received message from  84: 1|0,1,116,51
[  2] Received message from   9: 1|0,1,133,30
[143] Received message from  53: 1|0,1
[159] Received message from 145: 1|0,1,29
[160] Received message from   1: 1|0
[ 34] Received message from  72: 1|53,32,26,16,69
[ 72] Received message from  16: 1|0,1,53,32,26
[ 88] Received message from 161: 1|0,1,29
[ 75] Received message from 168: 1|0,1,29
[ 51] Received message from 143: 1|0,1,53,32
[148] Received message from  69: 1|1,53,32,26,16
[105] Received message from 165: 1|0,1,29
[ 95] Received message from 172: 1|0,1,29
[143] Received message from  51: 1|0,1,116
[ 88] Received message from 133: 1|0,1
[ 66] Received message from  81: 1|0,1,53,32,26
[  5] Received message from 122: 1|53,32,26,16,69
[145] Received message from 134: 1|0,1,29
[ 72] Received message from  71: 1|53,32,26,16,69
[105] Received message from 116: 1|0,1
[158] Received message from  32: 1|0,1,53
[178] Received message from  69: 1|1,53,32,26,16
[143] Received message from  75: 1|0,1,53
[158] Received message from  34: 1|0,1,116,51
[ 26] Received message from 144: 1|0,1,53,32
[ 65] Received message from  30: 1|0,1,133
[116] Received message from 165: 1|0,1,29
[ 75] Received message from  70: 1|0,1,53,32
[ 52] Received message from 143: 1|0,1,53,32
[  4] Received message from   9: 1|0,1,133,30
[122] Received message from  16: 1|0,1,53,32,26
[ 30] Received message from 160: 1|0,1
[ 95] Received message from 161: 1|0,1,29
[160] Received message from 134: 1|0,1,29
[  2] Received message from 142: 1|0,1,116,51
[144] Received message from  53: 1|0,1
[149] Received message from  88: 1|0,1
[134] Received message from 105: 1|0,1
[161] Received message from   1: 1|0
[ 32] Received message from 159: 1|0,1,29,145
[143] Received message from  52: 1|0,1,53
[ 45] Received message from 122: 1|53,32,26,16,69
[189] Received message from  34: 1|0,1,116,51
[ 80] Received message from  66: 1|1,53,32,26,81
[105] Received message from 172: 1|0,1,29
[  2] Received message from  48: 1|0,1,133,30
[  4] Received message from   2: 1|0,1,133,30,9
[161] Received message from 145: 1|0,1,29
[133] Received message from 116: 1|0,1
[ 52] Received message from 144: 1|0,1,53,32
[134] Received message from 165: 1|0,1,29
[ 71] Received message from  72: 1|53,32,26,16,69
[159] Received message from  32: 1|0,1,53
[ 95] Received message from 168: 1|0,1,29
[ 70] Received message from  81: 1|0,1,53,32,26
[144] Received message from  75: 1|0,1,53
[145] Received message from  53: 1|0,1
[ 66] Received message from 148: 1|53,32,26,16,69
