[ 65] Received message from   1: 1|0
[167] Received message from   1: 1|0
[167] Received message from  65: 1|0,1
[ 65] Received message from 167: 1|0,1
[188] Received message from   1: 1|0
[  1] Sent Broadcast: 1|0
[188] Received message from  65: 1|0,1
[ 65] Sent Broadcast: 1|0,1
[151] Received message from 167: 1|0,1
[ 65] Received message from 188: 1|0,1
[191] Received message from 167: 1|0,1
[ 94] Received message from 151: 1|0,1,167
[158] Received message from 188: 1|0,1
[197] Received message from 167: 1|0,1
[188] Sent Broadcast: 1|0,1
[167] Sent Broadcast: 1|0,1
[191] Received message from 151: 1|0,1,167
[ 94] Received message from 191: 1|0,1,167
[197] Received message from 151: 1|0,1,167
[151] Sent Broadcast: 1|0,1,167
[191] Received message from  94: 1|0,1,167,151
[ 94] Sent Broadcast: 1|0,1,167,151
[151] Received message from 197: 1|0,1,167
[170] Received message from 158: 1|0,1,188
[158] Sent Broadcast: 1|0,1,188
[151] Received message from 191: 1|0,1,167
[163] Received message from 197: 1|0,1,167
[197] Received message from 191: 1|0,1,167
[191] Sent Broadcast: 1|0,1,167
[ 40] Received message from 170: 1|0,1,188,158
[191] Received message from 197: 1|0,1,167
[197] Sent Broadcast: 1|0,1,167
[ 90] Received message from 170: 1|0,1,188,158
[170] Sent Broadcast: 1|0,1,188,158
[156] Received message from 163: 1|0,1,167,197
[ 30] Received message from  40: 1|0,1,188,158,170
[ 40] Sent Broadcast: 1|0,1,188,158,170
[  3] Received message from  90: 1|0,1,188,158,170
[180] Received message from 163: 1|0,1,167,197
[163] Sent Broadcast: 1|0,1,167,197
[115] Received message from 156: 1|0,1,167,197,163
[103] Received message from  90: 1|0,1,188,158,170
[ 33] Received message from  30: 1|1,188,158,170,40
[180] Received message from 156: 1|0,1,167,197,163
[ 30] Sent Broadcast: 1|1,188,158,170,40
[156] Sent Broadcast: 1|0,1,167,197,163
[115] Received message from 180: 1|0,1,167,197,163
[ 19] Received message from   3: 1|1,188,158,170,90
[114] Received message from  90: 1|0,1,188,158,170
[ 90] Sent Broadcast: 1|0,1,188,158,170
[ 38] Received message from 115: 1|1,167,197,163,156
