[ 48] Received message from   1: 1|0
[123] Received message from   1: 1|0
[  2] Received message from  48: 1|0,1
[182] Received message from   1: 1|0
[  1] Sent Broadcast: 1|0
[123] Received message from  48: 1|0,1
[  3] Received message from   2: 1|0,1,48
[136] Received message from  48: 1|0,1
[ 43] Received message from 123: 1|0,1
[ 38] Received message from 182: 1|0,1
[ 16] Received message from   2: 1|0,1,48
[149] Received message from  48: 1|0,1
[ 48] Received message from 123: 1|0,1
[  8] Received message from   3: 1|0,1,48,2
[ 43] Received message from 182: 1|0,1
[136] Received message from   2: 1|0,1,48
[ 38] Received message from  43: 1|0,1,123
[  2] Received message from 136: 1|0,1,48
[161] Received message from  48: 1|0,1
[ 50] Received message from 182: 1|0,1
[ 48] Sent Broadcast: 1|0,1
[ 43] Received message from  38: 1|0,1,182
[182] Received message from 123: 1|0,1
[123] Sent Broadcast: 1|0,1
[  3] Received message from  16: 1|0,1,48,2
[ 16] Received message from   3: 1|0,1,48,2
[  2] Received message from 149: 1|0,1,48
[149] Received message from   2: 1|0,1,48
[ 50] Received message from  43: 1|0,1,123
[187] Received message from  38: 1|0,1,182
[ 16] Received message from   8: 1|0,1,48,2,3
[ 38] Sent Broadcast: 1|0,1,182
[  8] Received message from  16: 1|0,1,48,2
[123] Received message from 182: 1|0,1
[  3] Received message from 136: 1|0,1,48
[ 29] Received message from   3: 1|0,1,48,2
[  2] Received message from 161: 1|0,1,48
[ 49] Received message from 149: 1|0,1,48
[161] Received message from   2: 1|0,1,48
[182] Received message from  43: 1|0,1,123
[149] Sent Broadcast: 1|0,1,48
[  2] Sent Broadcast: 1|0,1,48
[187] Received message from 182: 1|0,1
[182] Sent Broadcast: 1|0,1
[  3] Received message from  50: 1|0,1,182
[  8] Received message from 136: 1|0,1,48
[ 29] Received message from   8: 1|0,1,48,2,3
[ 43] Received message from  50: 1|0,1,182
[ 29] Received message from  16: 1|0,1,48,2
[  3] Received message from 161: 1|0,1,48
[ 50] Received message from   3: 1|0,1,48,2
[ 16] Received message from 136: 1|0,1,48
[187] Received message from  43: 1|0,1,123
[ 43] Sent Broadcast: 1|0,1,123
[  8] Received message from  29: 1|0,1,48,2,3
