[131] Received message from   1: 1|0,131
[129] Received message from  36: 3|0,44,52,67,142,3,21,28,116,137,143,37,80,35,43,89,36,68,95,141,56,129,144
[ 56] Sent Broadcast: 3|0,44,52,67,142,3,21,28,116,137,143,37,80,35,43,89,36,68,95,141,56,129,144,12
[ 89] Sent Broadcast: 3|0,44,52,67,142,3,21,28,116,137,143,37,80,35,43,89,36,68,95,141
[140] Received message from  68: 3|0,44,52,67,142,3,21,28,116,137,143,37,80,35,43,89,36,68,95,141,74,129,140,149
[144] Received message from  36: 3|0,44,52,67,142,3,21,28,116,137,143,37,80,35,43,89,36,68,95,141,56,129,144
[ 36] Sent Broadcast: 3|0,44,52,67,142,3,21,28,116,137,143,37,80,35,43,89,36,68,95,141,56,129,144
[ 16] Received message from 129: 3|0,44,52,67,142,3,21,28,116,137,143,37,80,35,43,89,36,68,95,141,74,129,140,149,16,65,144
[149] Received message from  68: 3|0,44,52,67,142,3,21,28,116,137,143,37,80,35,43,89,36,68,95,141,74,129,140,149
[ 16] Received message from 140: 3|0,44,52,67,142,3,21,28,116,137,143,37,80,35,43,89,36,68,95,141,74,129,140,149,16,65,75
[ 68] Sent Broadcast: 3|0,44,52,67,142,3,21,28,116,137,143,37,80,35,43,89,36,68,95,141,74,129,140,149
[ 65] Received message from 129: 3|0,44,52,67,142,3,21,28,116,137,143,37,80,35,43,89,36,68,95,141,74,129,140,149,16,65,144
[ 65] Received message from 140: 3|0,44,52,67,142,3,21,28,116,137,143,37,80,35,43,89,36,68,95,141,74,129,140,149,16,65,75
[ 54] Received message from  16: 3|0,44,52,67,142,3,21,28,116,137,143,37,80,35,43,89,36,68,95,141,74,129,140,149,16,65,75,54
[ 65] Received message from 149: 3|0,44,52,67,142,3,21,28,116,137,143,37,80,35,43,89,36,68,95,141,74,129,140,149,65,75,81
[ 75] Received message from  65: 3|0,44,52,67,142,3,21,28,116,137,143,37,80,35,43,89,36,68,95,141,74,129,140,149,16,65,144,75
[144] Received message from 129: 3|0,44,52,67,142,3,21,28,116,137,143,37,80,35,43,89,36,68,95,141,74,129,140,149,16,65,144
[129] Sent Broadcast: 3|0,44,52,67,142,3,21,28,116,137,143,37,80,35,43,89,36,68,95,141,74,129,140,149,16,65,144
[ 16] Sent Broadcast: 3|0,44,52,67,142,3,21,28,116,137,143,37,80,35,43,89,36,68,95,141,74,129,140,149,16,65,75,54
[ 65] Sent Broadcast: 3|0,44,52,67,142,3,21,28,116,137,143,37,80,35,43,89,36,68,95,141,74,129,140,149,16,65,144,75
[ 75] Received message from 140: 3|0,44,52,67,142,3,21,28,116,137,143,37,80,35,43,89,36,68,95,141,74,129,140,149,16,65,75
[140] Sent Broadcast: 3|0,44,52,67,142,3,21,28,116,137,143,37,80,35,43,89,36,68,95,141,74,129,140,149,16,65,75
[ 93] Received message from  54: 3|0,44,52,67,142,3,21,28,116,137,143,37,80,35,43,89,36,68,95,141,74,129,140,149,16,65,75,54,93
[ 81] Received message from  75: 3|0,44,52,67,142,3,21,28,116,137,143,37,80,35,43,89,36,68,95,141,74,129,140,149,16,65,144,75,81
[ 54] Sent Broadcast: 3|0,44,52,67,142,3,21,28,116,137,143,37,80,35,43,89,36,68,95,141,74,129,140,149,16,65,75,54,93
[ 16] Received message from  74: 3|0,44,52,67,142,3,21,28,116,137,143,37,80,35,43,89,36,68,95,141,74,129,140,149,16,65,75,81
[ 75] Sent Broadcast: 3|0,44,52,67,142,3,21,28,116,137,143,37,80,35,43,89,36,68,95,141,74,129,140,149,16,65,144,75,81
[ 65] Received message from  74: 3|0,44,52,67,142,3,21,28,116,137,143,37,80,35,43,89,36,68,95,141,74,129,140,149,16,65,75,81
[ 93] Received message from 144: 3|0,44,52,67,142,3,21,28,116,137,143,37,80,35,43,89,36,68,95,141,74,129,140,149,16,65,144,93
[144] Sent Broadcast: 3|0,44,52,67,142,3,21,28,116,137,143,37,80,35,43,89,36,68,95,141,74,129,140,149,16,65,144,93
[ 79] Received message from  93: 3|0,44,52,67,142,3,21,28,116,137,143,37,80,35,43,89,36,68,95,141,74,129,140,149,16,65,75,54,93,79,144
[ 55] Received message from  81: 3|0,44,52,67,142,3,21,28,116,137,143,37,80,35,43,89,36,68,95,141,74,129,140,149,16,65,144,75,81,55,132
[144] Received message from  93: 3|0,44,52,67,142,3,21,28,116,137,143,37,80,35,43,89,36,68,95,141,74,129,140,149,16,65,75,54,93,79,144
[ 75] Received message from 149: 3|0,44,52,67,142,3,21,28,116,137,143,37,80,35,43,89,36,68,95,141,74,129,140,149,65,75,81
[ 93] Sent Broadcast: 3|0,44,52,67,142,3,21,28,116,137,143,37,80,35,43,89,36,68,95,141,74,129,140,149,16,65,75,54,93,79,144
[ 40] Received message from  79: 3|0,44,52,67,142,3,21,28,116,137,143,37,80,35,43,89,36,68,95,141,74,129,140,149,16,65,75,54,93,79,144,40,45
