[ 90] Received message from   1: 1|0,90
[ 15] Received message from   3: 3|0,15,61,71,111,139
[ 61] Received message from   3: 3|0,15,61,71,111,139
[ 71] Received message from   3: 3|0,15,61,71,111,139
[111] Received message from   3: 3|0,15,61,71,111,139
[139] Received message from   3: 3|0,15,61,71,111,139
[  3] Sent Broadcast: 3|0,15,61,71,111,139
[ 30] Received message from   4: 4|0,30,58,117,136
[ 58] Received message from   4: 4|0,30,58,117,136
[117] Received message from   4: 4|0,30,58,117,136
[ 35] Received message from  58: 4|0,30,58,117,136,4,35,148
[136] Received message from   4: 4|0,30,58,117,136
[  4] Sent Broadcast: 4|0,30,58,117,136
[148] Received message from  58: 4|0,30,58,117,136,4,35,148
[ 35] Received message from 117: 4|0,30,58,117,136,4,35,148
[ 58] Sent Broadcast: 4|0,30,58,117,136,4,35,148
[  7] Received message from  35: 4|0,30,58,117,136,4,35,148,7
[ 35] Sent Broadcast: 4|0,30,58,117,136,4,35,148,7
[148] Received message from 117: 4|0,30,58,117,136,4,35,148
[ 37] Received message from 136: 4|0,30,58,117,136,4,37
[146] Received message from 148: 4|0,30,58,117,136,4,35,148,146
[117] Sent Broadcast: 4|0,30,58,117,136,4,35,148
[136] Sent Broadcast: 4|0,30,58,117,136,4,37
[148] Sent Broadcast: 4|0,30,58,117,136,4,35,148,146
[ 67] Received message from  37: 4|0,30,58,117,136,4,37,67,131
[ 59] Received message from   7: 4|0,30,58,117,136,4,35,148,7,59
[  7] Sent Broadcast: 4|0,30,58,117,136,4,35,148,7,59
[  8] Received message from  67: 4|0,30,58,117,136,4,37,67,131,8,66,69,114,130,142,143
[131] Received message from  37: 4|0,30,58,117,136,4,37,67,131
[110] Received message from  59: 4|0,30,58,117,136,4,35,148,7,59,110
[ 59] Sent Broadcast: 4|0,30,58,117,136,4,35,148,7,59,110
[ 37] Sent Broadcast: 4|0,30,58,117,136,4,37,67,131
[ 66] Received message from  67: 4|0,30,58,117,136,4,37,67,131,8,66,69,114,130,142,143
[ 11] Received message from   8: 4|0,30,58,117,136,4,37,67,131,8,66,69,114,130,142,143,11
[  8] Sent Broadcast: 4|0,30,58,117,136,4,37,67,131,8,66,69,114,130,142,143,11
[ 66] Received message from 131: 4|0,30,58,117,136,4,37,67,131,66,130,143
[ 69] Received message from  67: 4|0,30,58,117,136,4,37,67,131,8,66,69,114,130,142,143
[ 11] Received message from  66: 4|0,30,58,117,136,4,37,67,131,8,66,69,114,130,142,143,11,75,103
[130] Received message from 131: 4|0,30,58,117,136,4,37,67,131,66,130,143
[ 75] Received message from  11: 4|0,30,58,117,136,4,37,67,131,8,66,69,114,130,142,143,11,75,103
[114] Received message from  67: 4|0,30,58,117,136,4,37,67,131,8,66,69,114,130,142,143
[102] Received message from  69: 4|0,30,58,117,136,4,37,67,131,8,66,69,114,130,142,143,102
[ 75] Received message from  66: 4|0,30,58,117,136,4,37,67,131,8,66,69,114,130,142,143,11,75,103
[  8] Received message from 130: 4|0,30,58,117,136,4,37,67,131,66,130,143,8
[ 69] Sent Broadcast: 4|0,30,58,117,136,4,37,67,131,8,66,69,114,130,142,143,102
[143] Received message from 131: 4|0,30,58,117,136,4,37,67,131,66,130,143
[131] Sent Broadcast: 4|0,30,58,117,136,4,37,67,131,66,130,143
[103] Received message from  11: 4|0,30,58,117,136,4,37,67,131,8,66,69,114,130,142,143,11,75,103
[130] Sent Broadcast: 4|0,30,58,117,136,4,37,67,131,66,130,143,8
[ 92] Received message from  75: 4|0,30,58,117,136,4,37,67,131,8,66,69,114,130,142,143,11,75,103,92
[ 11] Sent Broadcast: 4|0,30,58,117,136,4,37,67,131,8,66,69,114,130,142,143,11,75,103
[130] Received message from  67: 4|0,30,58,117,136,4,37,67,131,8,66,69,114,130,142,143
[ 75] Sent Broadcast: 4|0,30,58,117,136,4,37,67,131,8,66,69,114,130,142,143,11,75,103,92
[103] Received message from  66: 4|0,30,58,117,136,4,37,67,131,8,66,69,114,130,142,143,11,75,103
[102] Received message from 114: 4|0,30,58,117,136,4,37,67,131,8,66,69,114,130,142,143,102
[114] Sent Broadcast: 4|0,30,58,117,136,4,37,67,131,8,66,69,114,130,142,143,102
[ 66] Sent Broadcast: 4|0,30,58,117,136,4,37,67,131,8,66,69,114,130,142,143,11,75,103
[  8] Received message from 143: 4|0,30,58,117,136,4,37,67,131,66,130,143,8,11
[142] Received message from  67: 4|0,30,58,117,136,4,37,67,131,8,66,69,114,130,142,143
[ 18] Received message from  92: 4|0,30,58,117,136,4,37,67,131,8,66,69,114,130,142,143,11,75,103,92,18,60,70
[ 92] Received message from 103: 4|0,30,58,117,136,4,37,67,131,8,66,69,114,130,142,143,11,75,103,92
[ 11] Received message from 143: 4|0,30,58,117,136,4,37,67,131,66,130,143,8,11
[102] Received message from 142: 4|0,30,58,117,136,4,37,67,131,8,66,69,114,130,142,143,102
[103] Sent Broadcast: 4|0,30,58,117,136,4,37,67,131,8,66,69,114,130,142,143,11,75,103,92
[142] Sent Broadcast: 4|0,30,58,117,136,4,37,67,131,8,66,69,114,130,142,143,102
[143] Sent Broadcast: 4|0,30,58,117,136,4,37,67,131,66,130,143,8,11
[143] Received message from  67: 4|0,30,58,117,136,4,37,67,131,8,66,69,114,130,142,143
[ 60] Received message from  92: 4|0,30,58,117,136,4,37,67,131,8,66,69,114,130,142,143,11,75,103,92,18,60,70
[ 67] Sent Broadcast: 4|0,30,58,117,136,4,37,67,131,8,66,69,114,130,142,143
[ 70] Received message from  92: 4|0,30,58,117,136,4,37,67,131,8,66,69,114,130,142,143,11,75,103,92,18,60,70
[ 92] Sent Broadcast: 4|0,30,58,117,136,4,37,67,131,8,66,69,114,130,142,143,11,75,103,92,18,60,70
[ 56] Received message from   5: 5|0,56,78
[ 78] Received message from   5: 5|0,56,78
[  5] Sent Broadcast: 5|0,56,78
[ 42] Received message from  78: 5|0,56,78,5,42
[ 78] Sent Broadcast: 5|0,56,78,5,42
[ 97] Received message from  42: 5|0,56,78,5,42,97
[ 42] Sent Broadcast: 5|0,56,78,5,42,97
[ 42] Received message from  56: 5|0,56,78,5,42
[ 56] Sent Broadcast: 5|0,56,78,5,42
[ 13] Received message from   6: 6|0,13,72,112,125,138
[ 72] Received message from   6: 6|0,13,72,112,125,138
[106] Received message from  13: 6|0,13,72,112,125,138,6,106
[ 13] Sent Broadcast: 6|0,13,72,112,125,138,6,106
[112] Received message from   6: 6|0,13,72,112,125,138
[125] Received message from   6: 6|0,13,72,112,125,138
[ 84] Received message from 112: 6|0,13,72,112,125,138,6,84,106
[138] Received message from   6: 6|0,13,72,112,125,138
[  6] Sent Broadcast: 6|0,13,72,112,125,138
[ 82] Received message from  84: 6|0,13,72,112,125,138,6,84,106,82
[106] Received message from 112: 6|0,13,72,112,125,138,6,84,106
[112] Sent Broadcast: 6|0,13,72,112,125,138,6,84,106
[ 84] Sent Broadcast: 6|0,13,72,112,125,138,6,84,106,82
[ 84] Received message from 138: 6|0,13,72,112,125,138,6,84
[ 83] Received message from  82: 6|0,13,72,112,125,138,6,84,106,82,83
[138] Sent Broadcast: 6|0,13,72,112,125,138,6,84
[ 82] Sent Broadcast: 6|0,13,72,112,125,138,6,84,106,82,83
