[ 13] Received message from   1: 1|0,13,77
[ 31] Received message from  13: 1|0,13,77,1,31,75
[ 77] Received message from   1: 1|0,13,77
[  1] Sent Broadcast: 1|0,13,77
[ 75] Received message from  13: 1|0,13,77,1,31,75
[ 13] Sent Broadcast: 1|0,13,77,1,31,75
[ 14] Received message from   2: 2|0,14,65,80,97
[ 65] Received message from   2: 2|0,14,65,80,97
[ 20] Received message from  65: 2|0,14,65,80,97,2,20,45
[ 45] Received message from  65: 2|0,14,65,80,97,2,20,45
[ 65] Sent Broadcast: 2|0,14,65,80,97,2,20,45
[ 80] Received message from   2: 2|0,14,65,80,97
[  7] Received message from  20: 2|0,14,65,80,97,2,20,45,7,9
[  6] Received message from  45: 2|0,14,65,80,97,2,20,45,6,7,9
[ 97] Received message from   2: 2|0,14,65,80,97
[  2] Sent Broadcast: 2|0,14,65,80,97
[  9] Received message from  20: 2|0,14,65,80,97,2,20,45,7,9
[ 20] Sent Broadcast: 2|0,14,65,80,97,2,20,45,7,9
[ 19] Received message from   6: 2|0,14,65,80,97,2,20,45,6,7,9,19,86,87
[ 86] Received message from   6: 2|0,14,65,80,97,2,20,45,6,7,9,19,86,87
[  7] Received message from  45: 2|0,14,65,80,97,2,20,45,6,7,9
[ 60] Received message from   9: 2|0,14,65,80,97,2,20,45,7,9,60
[  9] Sent Broadcast: 2|0,14,65,80,97,2,20,45,7,9,60
[ 87] Received message from   6: 2|0,14,65,80,97,2,20,45,6,7,9,19,86,87
[  6] Sent Broadcast: 2|0,14,65,80,97,2,20,45,6,7,9,19,86,87
[  9] Received message from  45: 2|0,14,65,80,97,2,20,45,6,7,9
[ 45] Sent Broadcast: 2|0,14,65,80,97,2,20,45,6,7,9
[  6] Received message from   7: 2|0,14,65,80,97,2,20,45,7,9,6,81
[ 34] Received message from  60: 2|0,14,65,80,97,2,20,45,7,9,60,34,43
[ 12] Received message from  19: 2|0,14,65,80,97,2,20,45,6,7,9,19,86,87,12
[ 81] Received message from   7: 2|0,14,65,80,97,2,20,45,7,9,6,81
[ 19] Sent Broadcast: 2|0,14,65,80,97,2,20,45,6,7,9,19,86,87,12
[  7] Sent Broadcast: 2|0,14,65,80,97,2,20,45,7,9,6,81
[ 43] Received message from  60: 2|0,14,65,80,97,2,20,45,7,9,60,34,43
[ 60] Sent Broadcast: 2|0,14,65,80,97,2,20,45,7,9,60,34,43
[ 53] Received message from  81: 2|0,14,65,80,97,2,20,45,7,9,6,81,53,94
[ 12] Received message from  86: 2|0,14,65,80,97,2,20,45,6,7,9,19,86,87,12
[ 86] Sent Broadcast: 2|0,14,65,80,97,2,20,45,6,7,9,19,86,87,12
[ 12] Received message from  87: 2|0,14,65,80,97,2,20,45,6,7,9,19,86,87,12
[ 87] Sent Broadcast: 2|0,14,65,80,97,2,20,45,6,7,9,19,86,87,12
[  4] Received message from  34: 2|0,14,65,80,97,2,20,45,7,9,60,34,43,4,17,51
[ 94] Received message from  81: 2|0,14,65,80,97,2,20,45,7,9,6,81,53,94
[ 81] Sent Broadcast: 2|0,14,65,80,97,2,20,45,7,9,6,81,53,94
[  4] Received message from  43: 2|0,14,65,80,97,2,20,45,7,9,60,34,43,4,51
[ 40] Received message from   4: 2|0,14,65,80,97,2,20,45,7,9,60,34,43,4,17,51,40
[ 17] Received message from  34: 2|0,14,65,80,97,2,20,45,7,9,60,34,43,4,17,51
[  4] Sent Broadcast: 2|0,14,65,80,97,2,20,45,7,9,60,34,43,4,17,51,40
[ 51] Received message from  43: 2|0,14,65,80,97,2,20,45,7,9,60,34,43,4,51
[ 43] Sent Broadcast: 2|0,14,65,80,97,2,20,45,7,9,60,34,43,4,51
[ 22] Received message from  40: 2|0,14,65,80,97,2,20,45,7,9,60,34,43,4,17,51,40,22,29,47,95
[ 29] Received message from  17: 2|0,14,65,80,97,2,20,45,7,9,60,34,43,4,17,51,29,40,95
[ 51] Received message from  34: 2|0,14,65,80,97,2,20,45,7,9,60,34,43,4,17,51
[ 34] Sent Broadcast: 2|0,14,65,80,97,2,20,45,7,9,60,34,43,4,17,51
[ 29] Received message from  40: 2|0,14,65,80,97,2,20,45,7,9,60,34,43,4,17,51,40,22,29,47,95
[ 40] Received message from  17: 2|0,14,65,80,97,2,20,45,7,9,60,34,43,4,17,51,29,40,95
[  5] Received message from  51: 2|0,14,65,80,97,2,20,45,7,9,60,34,43,4,51,5,33,88
[ 46] Received message from  22: 2|0,14,65,80,97,2,20,45,7,9,60,34,43,4,17,51,40,22,29,47,95,46,50,64,91
[ 47] Received message from  40: 2|0,14,65,80,97,2,20,45,7,9,60,34,43,4,17,51,40,22,29,47,95
[ 95] Received message from  17: 2|0,14,65,80,97,2,20,45,7,9,60,34,43,4,17,51,29,40,95
[ 17] Sent Broadcast: 2|0,14,65,80,97,2,20,45,7,9,60,34,43,4,17,51,29,40,95
[ 41] Received message from  29: 2|0,14,65,80,97,2,20,45,7,9,60,34,43,4,17,51,40,22,29,47,95,41,79
[ 33] Received message from  51: 2|0,14,65,80,97,2,20,45,7,9,60,34,43,4,51,5,33,88
[ 50] Received message from  22: 2|0,14,65,80,97,2,20,45,7,9,60,34,43,4,17,51,40,22,29,47,95,46,50,64,91
[ 95] Received message from  40: 2|0,14,65,80,97,2,20,45,7,9,60,34,43,4,17,51,40,22,29,47,95
[ 40] Sent Broadcast: 2|0,14,65,80,97,2,20,45,7,9,60,34,43,4,17,51,40,22,29,47,95
[  3] Received message from   5: 2|0,14,65,80,97,2,20,45,7,9,60,34,43,4,51,5,33,88,3,25,39,72
[ 41] Received message from  95: 2|0,14,65,80,97,2,20,45,7,9,60,34,43,4,17,51,29,40,95,41,47,79
[ 79] Received message from  29: 2|0,14,65,80,97,2,20,45,7,9,60,34,43,4,17,51,40,22,29,47,95,41,79
[ 88] Received message from  51: 2|0,14,65,80,97,2,20,45,7,9,60,34,43,4,51,5,33,88
[ 64] Received message from  22: 2|0,14,65,80,97,2,20,45,7,9,60,34,43,4,17,51,40,22,29,47,95,46,50,64,91
[ 29] Sent Broadcast: 2|0,14,65,80,97,2,20,45,7,9,60,34,43,4,17,51,40,22,29,47,95,41,79
[ 51] Sent Broadcast: 2|0,14,65,80,97,2,20,45,7,9,60,34,43,4,51,5,33,88
[  3] Received message from  33: 2|0,14,65,80,97,2,20,45,7,9,60,34,43,4,51,5,33,88,3,11,39,72
[ 25] Received message from   5: 2|0,14,65,80,97,2,20,45,7,9,60,34,43,4,51,5,33,88,3,25,39,72
[ 18] Received message from   3: 2|0,14,65,80,97,2,20,45,7,9,60,34,43,4,51,5,33,88,3,25,39,72,18,49
[ 62] Received message from  88: 2|0,14,65,80,97,2,20,45,7,9,60,34,43,4,51,5,33,88,62,76
[ 47] Received message from  95: 2|0,14,65,80,97,2,20,45,7,9,60,34,43,4,17,51,29,40,95,41,47,79
[ 91] Received message from  22: 2|0,14,65,80,97,2,20,45,7,9,60,34,43,4,17,51,40,22,29,47,95,46,50,64,91
[ 22] Sent Broadcast: 2|0,14,65,80,97,2,20,45,7,9,60,34,43,4,17,51,40,22,29,47,95,46,50,64,91
[ 11] Received message from  33: 2|0,14,65,80,97,2,20,45,7,9,60,34,43,4,51,5,33,88,3,11,39,72
[ 39] Received message from   5: 2|0,14,65,80,97,2,20,45,7,9,60,34,43,4,51,5,33,88,3,25,39,72
[ 49] Received message from   3: 2|0,14,65,80,97,2,20,45,7,9,60,34,43,4,51,5,33,88,3,25,39,72,18,49
[ 76] Received message from  88: 2|0,14,65,80,97,2,20,45,7,9,60,34,43,4,51,5,33,88,62,76
[ 79] Received message from  95: 2|0,14,65,80,97,2,20,45,7,9,60,34,43,4,17,51,29,40,95,41,47,79
[ 18] Received message from  25: 2|0,14,65,80,97,2,20,45,7,9,60,34,43,4,51,5,33,88,3,25,39,72,18,49
[  3] Sent Broadcast: 2|0,14,65,80,97,2,20,45,7,9,60,34,43,4,51,5,33,88,3,25,39,72,18,49
[ 95] Sent Broadcast: 2|0,14,65,80,97,2,20,45,7,9,60,34,43,4,17,51,29,40,95,41,47,79
[ 88] Sent Broadcast: 2|0,14,65,80,97,2,20,45,7,9,60,34,43,4,51,5,33,88,62,76
[ 50] Received message from  47: 2|0,14,65,80,97,2,20,45,7,9,60,34,43,4,17,51,40,22,29,47,95,50,64,79
[ 39] Received message from  33: 2|0,14,65,80,97,2,20,45,7,9,60,34,43,4,51,5,33,88,3,11,39,72
[ 66] Received message from  18: 2|0,14,65,80,97,2,20,45,7,9,60,34,43,4,51,5,33,88,3,25,39,72,18,49,66
[ 72] Received message from   5: 2|0,14,65,80,97,2,20,45,7,9,60,34,43,4,51,5,33,88,3,25,39,72
[ 18] Sent Broadcast: 2|0,14,65,80,97,2,20,45,7,9,60,34,43,4,51,5,33,88,3,25,39,72,18,49,66
[  5] Sent Broadcast: 2|0,14,65,80,97,2,20,45,7,9,60,34,43,4,51,5,33,88,3,25,39,72
[ 49] Received message from  25: 2|0,14,65,80,97,2,20,45,7,9,60,34,43,4,51,5,33,88,3,25,39,72,18,49
[ 64] Received message from  47: 2|0,14,65,80,97,2,20,45,7,9,60,34,43,4,17,51,40,22,29,47,95,50,64,79
[ 25] Sent Broadcast: 2|0,14,65,80,97,2,20,45,7,9,60,34,43,4,51,5,33,88,3,25,39,72,18,49
[ 72] Received message from  33: 2|0,14,65,80,97,2,20,45,7,9,60,34,43,4,51,5,33,88,3,11,39,72
[  8] Received message from  66: 2|0,14,65,80,97,2,20,45,7,9,60,34,43,4,51,5,33,88,3,25,39,72,18,49,66,8
[ 49] Received message from  11: 2|0,14,65,80,97,2,20,45,7,9,60,34,43,4,51,5,33,88,3,11,39,72,49
[ 18] Received message from  39: 2|0,14,65,80,97,2,20,45,7,9,60,34,43,4,51,5,33,88,3,11,39,72,18,25,49
[ 11] Received message from  49: 2|0,14,65,80,97,2,20,45,7,9,60,34,43,4,51,5,33,88,3,25,39,72,18,49,11,36,38,89
[ 66] Sent Broadcast: 2|0,14,65,80,97,2,20,45,7,9,60,34,43,4,51,5,33,88,3,25,39,72,18,49,66,8
[ 85] Received message from  72: 2|0,14,65,80,97,2,20,45,7,9,60,34,43,4,51,5,33,88,3,25,39,72,85
[ 33] Sent Broadcast: 2|0,14,65,80,97,2,20,45,7,9,60,34,43,4,51,5,33,88,3,11,39,72
[ 11] Sent Broadcast: 2|0,14,65,80,97,2,20,45,7,9,60,34,43,4,51,5,33,88,3,11,39,72,49
[ 72] Sent Broadcast: 2|0,14,65,80,97,2,20,45,7,9,60,34,43,4,51,5,33,88,3,25,39,72,85
