[ 43] Received message from   1: 1|0
[ 63] Received message from   1: 1|0
[  1] Sent Broadcast: 1|0
[  4] Received message from  43: 1|0,1
[ 41] Received message from   4: 1|0,1,43
[ 17] Received message from  63: 1|0,1
[ 45] Received message from  43: 1|0,1
[ 43] Received message from  63: 1|0,1
[ 58] Received message from  43: 1|0,1
[  6] Received message from  41: 1|0,1,43,4
[  5] Received message from  17: 1|0,1,63
[ 45] Received message from   4: 1|0,1,43
[ 58] Received message from  63: 1|0,1
[ 63] Received message from  43: 1|0,1
[  4] Received message from  45: 1|0,1,43
[ 69] Received message from   4: 1|0,1,43
[ 58] Received message from  17: 1|0,1,63
[ 44] Received message from  41: 1|0,1,43,4
[ 21] Received message from   5: 1|0,1,63,17
[ 17] Received message from  58: 1|0,1,43
[ 99] Received message from  63: 1|0,1
[ 63] Sent Broadcast: 1|0,1
[ 85] Received message from   4: 1|0,1,43
[ 44] Received message from   6: 1|0,1,43,4,41
[ 72] Received message from  43: 1|0,1
[ 41] Received message from  45: 1|0,1,43
[ 43] Sent Broadcast: 1|0,1
[  4] Sent Broadcast: 1|0,1,43
[ 99] Received message from  17: 1|0,1,63
[ 89] Received message from   5: 1|0,1,63,17
[ 17] Sent Broadcast: 1|0,1,63
[ 55] Received message from   6: 1|0,1,43,4,41
[ 45] Received message from  41: 1|0,1,43,4
[ 41] Received message from  69: 1|0,1,43,4
[ 63] Received message from  58: 1|0,1,43
[ 70] Received message from  45: 1|0,1,43
[ 99] Received message from   5: 1|0,1,63,17
[ 20] Received message from  21: 1|0,1,63,17,5
[ 41] Received message from  85: 1|0,1,43,4
[  5] Received message from  99: 1|0,1,63
[  6] Received message from  72: 1|0,1,43
[ 65] Received message from  41: 1|0,1,43,4
[  5] Sent Broadcast: 1|0,1,63,17
[ 72] Received message from  58: 1|0,1,43
[ 12] Received message from  44: 1|1,43,4,41,6
[ 13] Received message from  89: 1|0,1,63,17,5
[ 70] Received message from   6: 1|0,1,43,4,41
[ 65] Received message from  69: 1|0,1,43,4
[ 13] Received message from  20: 1|1,63,17,5,21
[  2] Received message from  55: 1|1,43,4,41,6
[ 45] Received message from  85: 1|0,1,43,4
[  6] Received message from  70: 1|0,1,43,45
[ 72] Received message from  45: 1|0,1,43
[ 15] Received message from  89: 1|0,1,63,17,5
[ 17] Received message from  99: 1|0,1,63
[ 79] Received message from  69: 1|0,1,43,4
[ 68] Received message from  41: 1|0,1,43,4
[ 60] Received message from  21: 1|0,1,63,17,5
[ 99] Received message from  58: 1|0,1,43
[ 65] Received message from  85: 1|0,1,43,4
[ 27] Received message from  44: 1|1,43,4,41,6
[ 45] Received message from  72: 1|0,1,43
[ 12] Received message from  55: 1|1,43,4,41,6
[ 27] Received message from  12: 1|43,4,41,6,44
[ 58] Sent Broadcast: 1|0,1,43
[ 72] Received message from   6: 1|0,1,43,4,41
[ 85] Received message from  45: 1|0,1,43
[ 15] Received message from  20: 1|1,63,17,5,21
[ 41] Received message from  70: 1|0,1,43,45
[  6] Sent Broadcast: 1|0,1,43,4,41
[ 45] Sent Broadcast: 1|0,1,43
[ 23] Received message from  65: 1|0,1,43,4,41
[ 20] Received message from  89: 1|0,1,63,17,5
[ 58] Received message from  99: 1|0,1,63
[  7] Received message from  13: 1|1,63,17,5,89
[ 23] Received message from  68: 1|0,1,43,4,41
[ 99] Sent Broadcast: 1|0,1,63
[ 89] Received message from  21: 1|0,1,63,17,5
[  8] Received message from   2: 1|43,4,41,6,55
[ 29] Received message from  55: 1|1,43,4,41,6
[ 69] Received message from  41: 1|0,1,43,4
[ 21] Sent Broadcast: 1|0,1,63,17,5
[ 72] Received message from  70: 1|0,1,43,45
[ 55] Received message from  44: 1|1,43,4,41,6
[ 25] Received message from  20: 1|1,63,17,5,21
[ 27] Received message from  68: 1|0,1,43,4,41
[ 70] Sent Broadcast: 1|0,1,43,45
[ 13] Received message from  15: 1|1,63,17,5,89
[ 80] Received message from  69: 1|0,1,43,4
[ 37] Received message from  79: 1|0,1,43,4,69
[ 26] Received message from  60: 1|1,63,17,5,21
[ 21] Received message from  89: 1|0,1,63,17,5
[ 15] Received message from  13: 1|1,63,17,5,89
[ 55] Received message from  12: 1|43,4,41,6,44
[ 12] Received message from  27: 1|43,4,41,6,44
[ 58] Received message from  72: 1|0,1,43
[ 29] Received message from   2: 1|43,4,41,6,55
[ 69] Received message from  85: 1|0,1,43,4
