[ 38] Received message from   1: 1|0
[ 53] Received message from   1: 1|0
[ 11] Received message from  38: 1|0,1
[ 66] Received message from   1: 1|0
[  8] Received message from  53: 1|0,1
[ 40] Received message from  38: 1|0,1
[ 13] Received message from  11: 1|0,1,38
[ 78] Received message from   1: 1|0
[  9] Received message from  66: 1|0,1
[ 26] Received message from  53: 1|0,1
[ 40] Received message from  11: 1|0,1,38
[ 42] Received message from  38: 1|0,1
[ 17] Received message from  66: 1|0,1
[ 89] Received message from   1: 1|0
[ 39] Received message from  53: 1|0,1
[  4] Received message from   8: 1|0,1,53
[ 59] Received message from  38: 1|0,1
[ 11] Received message from  40: 1|0,1,38
[ 12] Received message from  13: 1|0,1,38,11
[ 42] Received message from  11: 1|0,1,38
[ 26] Received message from  66: 1|0,1
[ 45] Received message from  53: 1|0,1
[  9] Received message from  78: 1|0,1
[  8] Received message from  26: 1|0,1,53
[ 97] Received message from   1: 1|0
[ 17] Received message from   9: 1|0,1,66
[ 21] Received message from  89: 1|0,1
[ 11] Received message from  42: 1|0,1,38
[ 15] Received message from   8: 1|0,1,53
[ 59] Received message from  11: 1|0,1,38
[ 16] Received message from  13: 1|0,1,38,11
[ 42] Received message from  40: 1|0,1,38
[ 68] Received message from  38: 1|0,1
[  3] Received message from   4: 1|0,1,53,8
[ 52] Received message from  66: 1|0,1
[  4] Received message from  39: 1|0,1,53
[  9] Received message from  17: 1|0,1,66
[ 41] Received message from   9: 1|0,1,66
[ 59] Received message from  40: 1|0,1,38
[ 19] Received message from  26: 1|0,1,53
[ 35] Received message from  12: 1|0,1,38,11,13
[ 67] Received message from  11: 1|0,1,38
[  4] Received message from  45: 1|0,1,53
[ 17] Received message from  78: 1|0,1
[ 53] Received message from  66: 1|0,1
[  7] Received message from   4: 1|0,1,53,8
[ 38] Received message from  89: 1|0,1
[100] Received message from   1: 1|0
[ 11] Received message from  59: 1|0,1,38
[  1] Sent Broadcast: 1|0
[ 54] Received message from  53: 1|0,1
[ 22] Received message from  16: 1|0,1,38,11,13
[  6] Received message from   3: 1|0,1,53,8,4
[  9] Received message from  97: 1|0,1
[ 13] Received message from  42: 1|0,1,38
[  8] Received message from  39: 1|0,1,53
[ 68] Received message from  40: 1|0,1,38
[ 15] Received message from   4: 1|0,1,53,8
[ 41] Received message from  17: 1|0,1,66
[ 19] Received message from   8: 1|0,1,53
[ 45] Received message from  26: 1|0,1,53
[ 73] Received message from  38: 1|0,1
[ 51] Received message from  12: 1|0,1,38,11,13
[ 39] Received message from  89: 1|0,1
[ 13] Received message from  59: 1|0,1,38
[ 35] Received message from  13: 1|0,1,38,11
[  5] Received message from  21: 1|0,1,89
[ 11] Received message from  68: 1|0,1,38
[ 52] Received message from   9: 1|0,1,66
[ 68] Received message from  11: 1|0,1,38
[  3] Received message from  15: 1|0,1,53,8
[ 41] Received message from  78: 1|0,1
[ 16] Received message from  35: 1|1,38,11,13,12
[ 42] Received message from  13: 1|0,1,38,11
[ 86] Received message from  38: 1|0,1
[  8] Received message from  45: 1|0,1,53
[  4] Received message from  19: 1|0,1,53,26
[ 78] Received message from  66: 1|0,1
[ 17] Received message from  41: 1|0,1,66,9
[  9] Received message from  52: 1|0,1,66
[ 15] Received message from   3: 1|0,1,53,8,4
[ 73] Received message from  40: 1|0,1,38
[ 18] Received message from   7: 1|0,1,53,8,4
[ 12] Received message from  67: 1|0,1,38,11
[ 66] Received message from  53: 1|0,1
[ 10] Received message from   5: 1|0,1,89,21
[ 34] Received message from  16: 1|0,1,38,11,13
[  8] Received message from  21: 1|0,1,89
[ 23] Received message from  22: 1|1,38,11,13,16
[ 53] Received message from  89: 1|0,1
[ 57] Received message from  12: 1|0,1,38,11,13
[ 40] Received message from  42: 1|0,1,38
[ 17] Received message from  52: 1|0,1,66
[ 40] Received message from  59: 1|0,1,38
[ 17] Received message from  97: 1|0,1
[ 21] Received message from   8: 1|0,1,53
[ 89] Received message from  38: 1|0,1
[  4] Received message from  54: 1|0,1,53
[ 78] Received message from   9: 1|0,1,66
[  7] Received message from  19: 1|0,1,53,26
[ 52] Received message from  17: 1|0,1,66
[ 93] Received message from  40: 1|0,1,38
[ 66] Received message from  26: 1|0,1,53
[ 73] Received message from  11: 1|0,1,38
[ 11] Received message from  73: 1|0,1,38
[ 18] Received message from   4: 1|0,1,53,8
[ 15] Received message from  39: 1|0,1,53
[ 51] Received message from  35: 1|1,38,11,13,12
[ 13] Received message from  67: 1|0,1,38,11
[  8] Received message from 100: 1|0,1
[ 78] Received message from  53: 1|0,1
[ 11] Received message from  86: 1|0,1,38
[ 10] Received message from  21: 1|0,1,89
[ 59] Received message from  42: 1|0,1,38
[ 19] Received message from   7: 1|0,1,53,8,4
[ 16] Received message from  51: 1|1,38,11,13,12
[ 40] Received message from  68: 1|0,1,38
[ 18] Received message from   6: 1|1,53,8,4,3
[ 34] Received message from  22: 1|1,38,11,13,16
[ 35] Received message from  16: 1|0,1,38,11,13
[  3] Received message from  18: 1|1,53,8,4,7
[ 25] Received message from   8: 1|0,1,53
[ 52] Received message from  78: 1|0,1
[ 42] Received message from  59: 1|0,1,38
[ 38] Received message from  97: 1|0,1
[ 44] Received message from   5: 1|0,1,89,21
[ 95] Received message from  38: 1|0,1
[ 97] Received message from   9: 1|0,1,66
[ 85] Received message from  26: 1|0,1,53
[  9] Sent Broadcast: 1|0,1,66
[ 67] Received message from  12: 1|0,1,38,11,13
[ 52] Received message from  41: 1|0,1,66,9
[ 51] Received message from  13: 1|0,1,38,11
[  5] Received message from  57: 1|1,38,11,13,12
[  8] Received message from  54: 1|0,1,53
[ 15] Received message from  45: 1|0,1,53
[ 41] Received message from  52: 1|0,1,66
[ 89] Received message from  66: 1|0,1
[ 56] Received message from  35: 1|1,38,11,13,12
[ 21] Received message from 100: 1|0,1
[ 86] Received message from  11: 1|0,1,38
[ 14] Received message from  34: 1|1,38,11,13,16
